epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6687814593315125,9.999999747378752e-06,1.3059252500534058,0.7256792187690735,1.1553003787994385
1,0.8654561638832092,9.999999747378752e-06,0.8649332523345947,0.7984224557876587,1.0190849304199219
2,0.8897396922111511,9.999999747378752e-06,0.7656221389770508,0.8080630898475647,0.9398578405380249
3,0.9065849781036377,9.999999747378752e-06,0.7239502668380737,0.8422436714172363,0.8676939606666565
4,0.9243053793907166,9.999999747378752e-06,0.6732563376426697,0.8729184865951538,0.8021860718727112
5,0.9293371438980103,9.999999747378752e-06,0.6657096147537231,0.8641542792320251,0.817947506904602
6,0.9367753267288208,9.999999747378752e-06,0.6377034783363342,0.8694127798080444,0.7846166491508484
7,0.9442135095596313,9.999999747378752e-06,0.6155047416687012,0.8851884603500366,0.7537403702735901
8,0.9488077163696289,9.999999747378752e-06,0.5954211950302124,0.9027169346809387,0.7147424817085266
9,0.954276978969574,9.999999747378752e-06,0.5861558318138123,0.8930762410163879,0.7389297485351562
10,0.9538394212722778,9.999999747378752e-06,0.5697453618049622,0.9062226414680481,0.7043386697769165
11,0.9586523771286011,9.999999747378752e-06,0.5616275072097778,0.9123575687408447,0.690276563167572
12,0.9682782888412476,9.999999747378752e-06,0.5427991151809692,0.9053462147712708,0.6865569949150085
13,0.9678407311439514,9.999999747378752e-06,0.5331383347511292,0.907975435256958,0.6882697343826294
14,0.9728724360466003,9.999999747378752e-06,0.5219531655311584,0.9211218357086182,0.6698195934295654
15,0.9693721532821655,9.999999747378752e-06,0.5278970003128052,0.9219982624053955,0.6511245965957642
16,0.9717786312103271,9.999999747378752e-06,0.5174261331558228,0.9193689823150635,0.6503137350082397
17,0.9763727784156799,9.999999747378752e-06,0.5047072172164917,0.9132339954376221,0.6755931973457336
18,0.9781229496002197,9.999999747378752e-06,0.4985310435295105,0.9176161289215088,0.6655229926109314
19,0.9796543717384338,9.999999747378752e-06,0.4929761588573456,0.9255039691925049,0.6304014325141907
20,0.9785605072975159,9.999999747378752e-06,0.48708051443099976,0.9316388964653015,0.6289346814155579
21,0.9798731207847595,9.999999747378752e-06,0.4819679260253906,0.9246275424957275,0.6486015915870667
22,0.9844672679901123,9.999999747378752e-06,0.4730381369590759,0.9132339954376221,0.6684901714324951
23,0.9864362478256226,9.999999747378752e-06,0.46508437395095825,0.9281331896781921,0.6284793019294739
24,0.982935905456543,9.999999747378752e-06,0.4707128405570984,0.9316388964653015,0.6321477293968201
25,0.9862174391746521,9.999999747378752e-06,0.45976522564888,0.9237511157989502,0.6408435702323914
26,0.9864362478256226,9.999999747378752e-06,0.4594733417034149,0.9290096163749695,0.6468812227249146
27,0.9879676103591919,4.999999873689376e-06,0.4507097005844116,0.9368974566459656,0.6247013211250305
28,0.9897177815437317,4.999999873689376e-06,0.44377952814102173,0.9368974566459656,0.6034556031227112
29,0.9868737459182739,4.999999873689376e-06,0.4512547254562378,0.9316388964653015,0.6413238644599915
